表字段	字段定义	字段类型	约束范围	示例
p_date		日期		2026-06-30
客户编号		文本		900000106626
客户编号转码		文本		A00001
客户名称		文本		客户001
合同流水号		文本		2025121101EV
合同编号		文本		112011825059-1
年初风险分类名称		枚举	0101--正常1,0102--正常2,0103--正常3,0203--关注3,0300--次级,NULL	0101--正常1
最新风险分类结果		枚举	0101--正常1,0102--正常2,0103--正常3,0203--关注3,0201--关注1,0300--次级,0400--可疑	0101--正常1
年初风险分类		枚举	正常,NULL,关注,不良	正常
最新风险分类		枚举	正常,关注,不良	正常
最新风险五级分类		枚举	正常,关注,次级,可疑	正常
合同期限(年)		数字		1
短中长期贷款标识		枚举	短期,中期,长期	短期
客户所属省/市		枚举	福建省,广东省,浙江省,北京市,山东省,江苏省,上海市,安徽省,四川省,河南省,湖北省,广西壮族自治区,辽宁省,山西省,贵州省,湖南省,天津市,吉林省,江西省,河北省,重庆市,甘肃省,黑龙江省,内蒙古自治区,青海省,陕西省,云南省	江苏省
业务品种大类		枚举	公司流动贷款,公司固定贷款	公司流动贷款
分区日期: [yyyyMMdd]		日期		20260630
一级分行名称		枚举	北京分行,广州分行,杭州分行,上海分行,合肥分行,成都分行,南京分行,青岛分行,武汉分行,郑州分行,济南分行,泉州分行,南宁分行,厦门分行,深圳分行,太原分行,苏州分行,福州分行,贵阳分行,南平分行,天津分行,长沙分行,大连分行,南昌分行,宁德分行,沈阳分行,长春分行,龙岩分行,宁波分行,石家庄分行,漳州分行,重庆分行,哈尔滨分行,呼和浩特分行,昆明分行,兰州分行,莆田分行,三明分行,西安分行,西宁分行	南京分行
账务机构代码		文本		40944
账务机构名称		文本		南京城北支行
账务机构全路径		文本		0108001,0140001,0140940,0140944
合同账务机构		文本		40944
合同状态		枚举	302--已生效终止下柜,301--已生效待下柜	302--已生效终止下柜
合同到期日期		日期		20261211
合同经办人		文本		JB0001
实际发放日期		日期		20251212
实际到期日期		日期		20261211
合同终结日期		日期		NULL
授信申请流水号		文本		zxsq2025121100EK
债项审批通知书流水号		文本		tz2025121100LJ
主体通知书流水号		文本		tz2025120800MV
债项额度编号		文本		FXQYF036L00051010000000000000470529
授信协议额度流水号		文本		NULL
授信协议通知书流水号		文本		NULL
授信协议合同流水号		文本		NULL
是否占用额度		枚举	1--是	1--是
占用额度客户编号		文本		900000106626
额度占用方角色		枚举	01--融资人	01--融资人
额度占用方债项审批通知书流水号		文本		tz2025121100LJ
占用债项授信额度流水号		文本		FXQYF036L00051010000000000000470529
第三方额度流水号		文本		NULL
第三方额度审批通知书流水号		文本		NULL
占用第三方额度客户编号		文本		NULL
基准利率代号		枚举	01700Y01,01700Y05,14802D01	01700Y01
浮动类型		枚举	0--浮动值浮动	0--浮动值浮动
计息方式		枚举	1--不分段计息,5--满季分段计息,7--满年分段计息,0--不计息,4--满月分段计息	1--不分段计息
计息周期		枚举	0--按月计息,1--按季计息,3--利随本清,9--满季计息,2--按年计息,4--手工计息	0--按月计息
源系统业务品种名称		文本		NULL
