数据日期,客户编号,客户编号转码,客户名称,合同流水号,合同编号,年初风险分类名称,最新风险分类结果,年初风险分类,最新风险分类,最新风险五级分类,合同期限(年),短中长期贷款标识,客户所属省/市,业务品种大类,分区日期: [yyyyMMdd],一级分行名称,账务机构代码,账务机构名称,账务机构全路径,合同账务机构,合同状态,合同到期日期,合同经办人,实际发放日期,实际到期日期,合同终结日期,授信申请流水号,债项审批通知书流水号,主体通知书流水号,债项额度编号,授信协议额度流水号,授信协议通知书流水号,授信协议合同流水号,是否占用额度,占用额度客户编号,额度占用方角色,额度占用方债项审批通知书流水号,占用债项授信额度流水号,第三方额度流水号,第三方额度审批通知书流水号,占用第三方额度客户编号,基准利率代号,浮动类型,计息方式,计息周期,源系统业务品种名称,业务品种名称,业务类别名称,产品代码,发生类型,货币种类,还款方式名称,主要担保方式名称,国标行业投向代码,国标行业投向名称,本行投向代码,相关科目代码,相关科目名称,委托人客户类型,客户考核分类,客户考核预分类,经济类型代码,所在行政区划名称,控股类型（企业出资人经济成分）,首次风险分类时间,最新风险分类时间,系统控制类型,系统控制模板类型,合同模式标识,数据来源系统代码,战略新兴产业类型代码,战略新兴产业类型名称,承诺业务品种,汇率（本外币折人民币）,客户所属集团名称,客户所属集团,客户所属国标行业名称,贷款余额(万元),合同金额(万元)
2026-06-30,900000000022,A00022,新科食品集团有限公司,2022010500001OP,841091391740-2,0400--可疑,0102--正常2,不良,正常,正常,7.0,长期,内蒙古自治区,公司固定贷款,2026-06-30,呼和浩特分行,00103,呼和浩特市城北支行,"0108001,0140001,150102,00103",00103,301--已生效待下柜,2029-01-05,JB4248,2022-01-05,2029-01-05,,zxsq2022010500001DK,tz2022010500001FF,tz2021122000001WW,FXQYF282L91898995888429420118192782367158,,,,1--是,900000000022,01--融资人,tz2022010500001FF,FXQYF282L91898995888429420118192782367158,,,,01700Y05,0--浮动值浮动,5--满季分段计息,1--按季计息,银团贷款,10108--银团贷款,2001--单一债项,105080000,0100--正常申请,14--美元,02--到期还款,202--自然人保证,C3032,C3032--建筑用石加工,77,113501,113501--银团贷款出资额,企业法人,基础客户,长尾,174,150102--内蒙古自治区--呼和浩特市--新城区,B0302--外商绝对控股,2022-04-02 14:05:16,2025-09-14 09:29:41,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,10108--银团贷款,7.0858221628,新科产业集团有限公司,有,C3032--建筑用石加工,3676.86,3680.73
2026-06-30,900000000092,A00092,华盛物流有限公司,2023123100002JU,908906239784-6,0101--正常1,0300--次级,正常,不良,次级,0.5,短期,甘肃省,公司流动贷款,2026-06-30,兰州分行,00104,兰州市中心支行,"0108001,0140001,620102,00104",00104,301--已生效待下柜,2024-06-28,JB5163,2023-12-31,2024-06-28,,zxsq20231231000023B,tz2023123100002XV,tz20231228000020H,FXQYF504L56926774776205761553353097279885,,,,1--是,900000000092,01--融资人,tz2023123100002XV,FXQYF504L56926774776205761553353097279885,DSFED2023123100000002,dstz2023123100002BC,900000000021,14802D01,0--浮动值浮动,5--满季分段计息,0--按月计息,公司结算帐户透支,1010401--公司结算帐户透支,2002--组合债项,105040100,0100--正常申请,01--人民币,02--到期还款,30202--工业用地土地使用权抵押,E5011,E5011--公共建筑装饰和装修,02,125110,125110--单位结算账户透支,企业法人,基础客户,长尾,141,620102--甘肃省--兰州市--城关区,A0102--国有绝对控股,2024-02-10 11:24:27,2025-08-22 17:13:48,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,1,1-新一代信息技术产业,1010401--公司结算帐户透支,1.0,,无,E5011--公共建筑装饰和装修,7023.51,7838.68
2026-06-30,900000000076,A00076,鼎盛医药集团有限公司,2024092700003XZ,986040539823-5,0203--关注3,0103--正常3,关注,正常,正常,10.0,长期,青海省,公司固定贷款,2026-06-30,西宁分行,00107,西宁市城北支行,"0108001,0140001,630104,00107",00107,301--已生效待下柜,2034-09-27,JB5067,2024-09-27,2034-09-27,,zxsq2024092700003SI,tz2024092700003TY,tz2024090900003WM,FXQYF897L91059485395185116351922409355120,XYED2024092700000003,xytz2024092700003Z8,xyht2024092700003AW,1--是,900000000076,01--融资人,tz2024092700003TY,FXQYF897L91059485395185116351922409355120,,,,01700Y01,0--浮动值浮动,5--满季分段计息,1--按季计息,并购贷款,10106--并购贷款,2001--单一债项,105060000,0301--重组-借新还旧（变更主体）,01--人民币,02--到期还款,40101--活期保证金,E4790,E4790--其他房屋建筑业,50,113301,113301--普通长期贷款,企业法人,重点客户,价值,141,630104--青海省--西宁市--城西区,A0201--集体相对控股,2024-09-30 14:32:19,2025-04-23 12:33:52,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,10106--并购贷款,1.0,,无,E4790--其他房屋建筑业,3448.4,4179.88
2026-06-30,900000000080,A00080,众联制造有限公司,202305260000498,517876647889-5,0101--正常1,0103--正常3,正常,正常,正常,3.0,中期,湖南省,公司流动贷款,2026-06-30,长沙分行,00108,长沙市高新支行,"0108001,0140001,430104,00108",00108,301--已生效待下柜,2026-05-26,JB5564,2023-05-26,2026-07-25,,zxsq2023052600004WA,tz2023052600004XQ,tz2023052500004RE,FXQYF399L77394017826694794163599210953003,,,,1--是,900000000080,01--融资人,tz2023052600004XQ,FXQYF399L77394017826694794163599210953003,,,,01700Y05,0--浮动值浮动,4--满月分段计息,2--按年计息,公司流动资金贷款,10101--公司流动资金贷款,2001--单一债项,105030000,0100--正常申请,01--人民币,0101--分期等额本金,41699--其他应收账款质押,C2720,C2720--化学药品制剂制造,11,113201,113201--普通中期贷款,企业法人,风险客户,风险,171,430104--湖南省--长沙市--岳麓区,A0201--集体相对控股,2023-06-21 17:40:55,2025-06-12 09:29:34,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,1,1-新一代信息技术产业,10101--公司流动资金贷款,1.0,,无,C2720--化学药品制剂制造,691.31,2063.61
2026-06-30,900000000082,A00082,远景食品股份有限公司,2026032700005EC,647660527391-1,0102--正常2,0400--可疑,正常,不良,可疑,5.0,中期,北京市,公司固定贷款,2026-06-30,北京分行,00110,北京市高新支行,"0108001,0140001,110105,00110",00110,301--已生效待下柜,2031-03-27,JB4449,2026-03-27,2031-04-26,,zxsq2026032700005XG,tz2026032700005XF,tz20260325000053W,FXQYF697L72032777608663188159472009642828,XYED2026032700000005,xytz2026032700005CA,xyht2026032700005PY,1--是,900000000082,01--融资人,tz2026032700005XF,FXQYF697L72032777608663188159472009642828,,,,01700Y05,0--浮动值浮动,1--不分段计息,9--满季计息,公司住房开发贷款,1010201--公司住房开发贷款,2002--组合债项,105020100,0302--重组-借新还旧（不变更主体）,01--人民币,0101--分期等额本金,101--一般信用,K7010,K7010--房地产开发经营,45,113202,113202--中期住房开发贷款,企业法人,重点客户,价值,190,110105--北京市--北京市--朝阳区,A0102--国有绝对控股,2026-05-05 12:34:49,2026-05-31 11:02:37,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010201--公司住房开发贷款,1.0,,无,K7010--房地产开发经营,4900.59,5078.33
2026-06-30,900000000086,A00086,星海食品有限公司,2022112500006FJ,278015002376-6,0103--正常3,0400--可疑,正常,不良,可疑,3.0,中期,天津市,公司流动贷款,2026-06-30,天津分行,00107,天津市城南支行,"0108001,0140001,120101,00107",00107,301--已生效待下柜,2025-11-25,JB0547,2022-11-25,2026-01-24,,zxsq202211250000692,tz2022112500006S4,tz20221112000063N,FXQYF132L12636953095781496988586879572939,,,,1--是,900000000086,01--融资人,tz2022112500006S4,FXQYF132L12636953095781496988586879572939,,,,01700Y01,0--浮动值浮动,1--不分段计息,0--按月计息,流动资金额度循环贷款,10107--流动资金额度循环贷款,2001--单一债项,105070000,0100--正常申请,01--人民币,02--到期还款,30102--商业用房抵押,C1369,C1369--其他水产品加工,31,113201,113201--普通中期贷款,企业法人,成长客户,潜力,174,120101--天津市--天津市--和平区,A0201--集体相对控股,2022-12-30 10:41:22,2025-04-23 17:47:46,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,10107--流动资金额度循环贷款,1.0,嘉禾产业集团有限公司,有,C1369--其他水产品加工,307.04,916.55
2026-06-30,900000000010,A00010,华盛机械集团有限公司,20220406000072F,801333238136-7,0300--次级,0101--正常1,不良,正常,正常,3.0,中期,黑龙江省,公司固定贷款,2026-06-30,哈尔滨分行,00110,哈尔滨市营业部,"0108001,0140001,230103,00110",00110,302--已生效终止下柜,2025-04-06,JB0205,2022-04-06,2025-04-06,2025-04-10,zxsq20220406000070Z,tz2022040600007ER,tz202204040000762,FXQYF816L71964471045940264356501574602283,XYED2022040600000007,xytz2022040600007MH,xyht2022040600007Y4,1--是,900000000010,01--融资人,tz2022040600007ER,FXQYF816L71964471045940264356501574602283,,,,14802D01,0--浮动值浮动,1--不分段计息,1--按季计息,公司住房开发贷款,1010201--公司住房开发贷款,2001--单一债项,105020100,0100--正常申请,01--人民币,02--到期还款,40904--商业承兑汇票质押,C2412,C2412--笔的制造,30,113202,113202--中期住房开发贷款,企业法人,成长客户,潜力,171,230103--黑龙江省--哈尔滨市--南岗区,A0102--国有绝对控股,2022-04-25 16:41:51,2025-01-13 14:11:11,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010201--公司住房开发贷款,1.0,,无,C2412--笔的制造,0.0,5862.32
2026-06-30,900000000066,A00066,星海能源股份有限公司,20240223000087B,147726511071-1,0102--正常2,0103--正常3,正常,正常,正常,0.5,短期,北京市,公司流动贷款,2026-06-30,北京分行,00113,北京市中心支行,"0108001,0140001,110105,00113",00113,302--已生效终止下柜,2024-08-23,JB8107,2024-02-23,2024-08-23,2024-09-06,zxsq2024022300008R4,tz2024022300008MA,tz2024021700008AZ,FXQYF304L32007408073016480959618176075149,,,,1--是,900000000066,01--融资人,tz2024022300008MA,FXQYF304L32007408073016480959618176075149,,,,14802D01,0--浮动值浮动,5--满季分段计息,1--按季计息,流动资金额度循环贷款,10107--流动资金额度循环贷款,2002--组合债项,105070000,0100--正常申请,01--人民币,03--分期还款（不规则期限还款）,40101--活期保证金,K7040,K7040--房地产租赁经营,69,113101,113101--普通短期贷款,企业法人,成长客户,潜力,110,110105--北京市--北京市--朝阳区,B0301--外商相对控股,2024-04-11 10:41:48,2026-04-18 17:12:29,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,10107--流动资金额度循环贷款,1.0,新科产业集团有限公司,有,K7040--房地产租赁经营,0.0,4865.65
2026-06-30,900000000013,A00013,众联软件股份有限公司,2023033100009VM,311683741231-2,0203--关注3,0101--正常1,关注,正常,正常,3.0,中期,陕西省,公司固定贷款,2026-06-30,西安分行,00122,西安市城南支行,"0108001,0140001,610113,00122",00122,302--已生效终止下柜,2026-03-28,JB1021,2023-03-31,2026-04-27,2026-05-27,zxsq2023033100009Y8,tz2023033100009P9,tz20230319000095J,FXQYF750L17997037234890525183145076113570,,,,1--是,900000000013,01--融资人,tz2023033100009P9,FXQYF750L17997037234890525183145076113570,,,,01700Y05,0--浮动值浮动,1--不分段计息,0--按月计息,公司住房开发贷款,1010201--公司住房开发贷款,2001--单一债项,105020100,0100--正常申请,01--人民币,0101--分期等额本金,40904--商业承兑汇票质押,L7271,L7271--安全服务,30,113202,113202--中期住房开发贷款,企业法人,重点客户,价值,171,610113--陕西省--西安市--雁塔区,B0301--外商相对控股,2023-05-23 12:25:48,2026-06-29 18:44:59,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,4,4-生物产业,1010201--公司住房开发贷款,1.0,新科产业集团有限公司,有,L7271--安全服务,0.0,609.63
2026-06-30,900000000039,A00039,众联能源股份有限公司,20221030000106R,977377779440-7,0400--可疑,0201--关注1,不良,关注,关注,10.0,长期,青海省,公司固定贷款,2026-06-30,西宁分行,00114,西宁市高新支行,"0108001,0140001,630104,00114",00114,301--已生效待下柜,2032-10-28,JB8065,2022-10-30,2032-12-27,,zxsq2022103000010S6,tz20221030000102M,tz2022102600010NH,FXQYF559L12361427782041178376992752123185,,,,1--是,900000000039,01--融资人,tz20221030000102M,FXQYF559L12361427782041178376992752123185,DSFED2022103000000010,dstz2022103000010AV,900000000053,01700Y01,0--浮动值浮动,4--满月分段计息,4--手工计息,并购贷款,10106--并购贷款,2001--单一债项,105060000,0100--正常申请,14--美元,0102--分期等额本息,30201--商业用地土地使用权抵押,C2659,C2659--其他合成材料制造,14,113301,113301--普通长期贷款,企业法人,成长客户,潜力,159,630104--青海省--西宁市--城西区,A0102--国有绝对控股,2022-11-21 11:40:21,2025-10-22 10:13:47,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,1,1-新一代信息技术产业,10106--并购贷款,7.2479537467,,无,C2659--其他合成材料制造,2544.43,4017.52
